"id","team","wins"
233,"2010 Vermont",0
234,"2010 North Texas",0
235,"2010 Oakland",0
236,"2010 Vanderbilt",0
237,"2010 UTEP",0
238,"2010 Minnesota",0
239,"2010 Florida (2OT)",0
240,"2010 Florida State",0
241,"2010 Arkansas-Pine Bluff",0
242,"2010 Robert Morris (OT)",0
243,"2010 Sam Houston State",0
244,"2010 Siena",0
245,"2010 Utah State",0
246,"2010 Notre Dame",0
247,"2010 Richmond",0
248,"2010 Louisville",0
249,"2010 Lehigh",0
250,"2010 UC Santa Barbara",0
251,"2010 Georgetown",0
252,"2010 Houston",0
253,"2010 New Mexico State",0
254,"2010 San Diego State",0
255,"2010 Oklahoma State",0
256,"2010 UNLV",0
257,"2011 Ohio State",2
258,"2011 North Carolina",3
259,"2011 Syracuse",1
260,"2011 Kentucky",4
261,"2011 West Virginia",1
262,"2011 Marquette",2
263,"2011 Washington",1
264,"2011 George Mason",1
265,"2011 Duke",2
266,"2011 San Diego State",2
267,"2011 UConn",6
268,"2011 Texas",1
269,"2011 Arizona",3
270,"2011 Cincinnati",1
271,"2011 Temple",1
272,"2011 Michigan",1
273,"2011 Kansas",3
274,"2011 Notre Dame",1
275,"2011 Purdue",1
276,"2011 Morehead State",1
277,"2011 Richmond",2
278,"2011 VCU",4
279,"2011 Florida State",2
280,"2011 Illinois",1
281,"2011 Pitt",1
282,"2011 Florida",3
283,"2011 BYU",2
284,"2011 Wisconsin",2
285,"2011 Kansas State",1
286,"2011 Gonzaga",1
287,"2011 UCLA",1
288,"2011 Butler",5
289,"2011 UTSA",0
290,"2011 Long Island",0
291,"2011 Indiana State",0
292,"2011 Princeton",0
293,"2011 Clemson",0
294,"2011 Xavier",0
295,"2011 Georgia",0
296,"2011 Villanova",0
297,"2011 Hampton",0
298,"2011 Northern Colorado",0
299,"2011 Bucknell",0
300,"2011 Oakland",0
301,"2011 Memphis",0
302,"2011 Missouri",0
303,"2011 Penn State",0
304,"2011 Tennessee",0
305,"2011 Boston University",0
306,"2011 Akron",0
307,"2011 Saint Peter's",0
308,"2011 Louisville",0
309,"2011 Vanderbilt",0
310,"2011 Georgetown",0
311,"2011 Texas A&M",0
312,"2011 UNLV",0
313,"2011 UNC Asheville",0
314,"2011 UC Santa Barbara",0
315,"2011 Wofford",0
316,"2011 Belmont",0
317,"2011 Utah State",0
318,"2011 St. John's",0
319,"2011 Michigan State",0
320,"2011 Old Dominion",0
321,"2012 Syracuse",3
322,"2012 Ohio State",4
323,"2012 Florida State",1
324,"2012 Wisconsin",2
325,"2012 Vanderbilt",1
326,"2012 Cincinnati",2
327,"2012 Gonzaga",1
328,"2012 Kansas State",1
329,"2012 Michigan State",2
330,"2012 Norfolk State",1
331,"2012 Marquette",2
332,"2012 Louisville",4
333,"2012 New Mexico",1
334,"2012 Murray State",1
335,"2012 Florida",3
336,"2012 Saint Louis",1
337,"2012 Kentucky",6
338,"2012 Lehigh",1
339,"2012 Baylor",3
340,"2012 Indiana",2
341,"2012 VCU",1
342,"2012 Colorado",1
343,"2012 Xavier",2
344,"2012 Iowa State",1
345,"2012 North Carolina",3
346,"2012 Kansas",5
347,"2012 Georgetown",1
348,"2012 Ohio",2
349,"2012 South Florida",1
350,"2012 NC State",2
351,"2012 Purdue",1
352,"2012 Creighton",1
353,"2012 UNC Asheville",0
354,"2012 Loyola (Md.)",0
355,"2012 St. Bonaventure",0
356,"2012 Montana",0
357,"2012 Harvard",0
358,"2012 Texas",0
359,"2012 West Virginia",0
360,"2012 Southern Miss",0
361,"2012 Long Island",0
362,"2012 Missouri",0
363,"2012 BYU",0
364,"2012 Davidson",0
365,"2012 Long Beach State",0
366,"2012 Colorado State",0
367,"2012 Virginia",0
368,"2012 Memphis",0
369,"2012 Western Kentucky",0
370,"2012 Duke",0
371,"2012 South Dakota State",0
372,"2012 New Mexico State",0
373,"2012 Wichita State",0
374,"2012 UNLV",0
375,"2012 Notre Dame",0
376,"2012 UConn",0
377,"2012 Vermont",0
378,"2012 Detroit",0
379,"2012 Belmont",0
380,"2012 Michigan",0
381,"2012 Temple",0
382,"2012 San Diego State",0
383,"2012 Saint Mary's",0
384,"2012 Alabama",0
