"id","team","wins"
230,"2014 UMass",0
231,"2014 Arizona State",0
232,"2014 Kansas State",0
233,"2014 Weber State",0
234,"2014 American",0
235,"2014 Louisiana",0
236,"2014 New Mexico State",0
237,"2014 Oklahoma",0
238,"2014 Nebraska",0
239,"2014 BYU",0
240,"2014 Oklahoma State",0
241,"2014 Coastal Carolina",0
242,"2014 Milwaukee",0
243,"2014 North Carolina Central",0
244,"2014 Delaware",0
245,"2014 Cincinnati",0
246,"2014 Providence",0
247,"2014 Saint Joseph's",0
248,"2014 George Washington",0
249,"2014 Albany",0
250,"2014 Eastern Kentucky",0
251,"2014 Western Michigan",0
252,"2014 Tulsa",0
253,"2014 VCU",0
254,"2014 Ohio State",0
255,"2014 New Mexico",0
256,"2014 Colorado",0
257,"2013 Louisville",6
258,"2013 Duke",3
259,"2013 Michigan State",2
260,"2013 Saint Louis",1
261,"2013 Oregon",2
262,"2013 Memphis",1
263,"2013 Creighton",1
264,"2013 Colorado State",1
265,"2013 Gonzaga",1
266,"2013 Ohio State",3
267,"2013 Harvard",1
268,"2013 La Salle",2
269,"2013 Ole Miss",1
270,"2013 Arizona",2
271,"2013 Iowa State",1
272,"2013 Wichita State",4
273,"2013 Indiana",2
274,"2013 Miami (Fla.)",2
275,"2013 Marquette",3
276,"2013 Syracuse",4
277,"2013 California",1
278,"2013 Butler",1
279,"2013 Illinois",1
280,"2013 Temple",1
281,"2013 Kansas",2
282,"2013 Florida Gulf Coast",2
283,"2013 Florida",3
284,"2013 Michigan",5
285,"2013 VCU",1
286,"2013 Minnesota",1
287,"2013 San Diego State",1
288,"2013 North Carolina",1
289,"2013 North Carolina A&T",0
290,"2013 Albany",0
291,"2013 Valparaiso",0
292,"2013 New Mexico State",0
293,"2013 Oklahoma State",0
294,"2013 Saint Mary's",0
295,"2013 Cincinnati",0
296,"2013 Missouri",0
297,"2013 Southern",0
298,"2013 Iona",0
299,"2013 New Mexico",0
300,"2013 Kansas State",0
301,"2013 Wisconsin",0
302,"2013 Belmont",0
303,"2013 Notre Dame",0
